ID,Date,Site,Species,Individual,BM,DM,DMi,Tube,POM_Tube
A_1,17.05.24,Peron,Amphiroa anceps,1,10.65,5.50398,5.41449,12.86866,13.17107
J_1,17.05.24,Peron,Jania rosea,1,8.21,1.98413,1.95158,12.82322,13.03768
M_1,17.05.24,Peron,Metamastophora flabellata,1,6.39,1.15165,1.14412,12.87164,13.14014
A_2,17.05.24,Peron,Amphiroa anceps,2,7.61,3.89665,1.09014,12.87325,12.99532
J_2,17.05.24,Peron,Jania rosea,2,4.32,1.0237,0.99575,12.87508,12.97747
M_2,17.05.24,Peron,Metamastophora flabellata,2,7.22,1.38168,0.79207,12.88012,13.20312
A_3,17.05.24,Peron,Amphiroa anceps,3,4.71,2.50933,1.02915,12.92724,13.01707
J_3,17.05.24,Peron,Jania rosea,3,0.53,0.53633,0.43728,12.85866,12.86307
M_3,17.05.24,Peron,Metamastophora flabellata,3,6.12,1.20791,1.01442,12.91259,13.21523
A_4,17.06.24,Peron,Amphiroa anceps,4,11.32,5.58636,1.00418,12.89676,12.99254
J_4,17.06.24,Peron,Jania rosea,4,6.69,1.71087,0.99756,12.82806,12.91144
M_4,17.06.24,Peron,Metamastophora flabellata,4,7.58,1.38694,1.00626,12.85563,13.20707
A_5,04.07.24,Peron,Amphiroa anceps,5,5.68,3.0846,1.09612,12.64903,12.76169
J_5,04.07.24,Peron,Jania rosea,5,7.51,2.039,1.03421,12.90293,13.05607
M_5,04.07.24,Peron,Metamastophora flabellata,5,3.8,0.6523,0.39517,12.9369,13.08022
A_6,04.07.24,Peron,Amphiroa anceps,6,7.27,3.27393,1.01247,12.84051,12.94186
J_6,04.07.24,Peron,Jania rosea,6,6.56,1.8047,1.0199,12.95984,13.01853
M_6,04.07.24,Peron,Metamastophora flabellata,6,8.05,1.14548,0.92467,12.87426,13.18666
A_7,04.07.24,Peron,Amphiroa anceps,7,6.78,3.08603,1.01673,12.90251,13.02252
J_7,04.07.24,Peron,Jania rosea,7,7.91,2.24445,0.99817,12.87741,13.02831
M_7,04.07.24,Peron,Metamastophora flabellata,7,7.67,1.14222,0.86576,12.91552,13.18338
A_8,04.07.24,Peron,Amphiroa anceps,8,9.83,4.63462,1.09063,12.8206,12.93499
J_8,04.07.24,Peron,Jania rosea,8,7.47,1.6546,1.04342,12.88121,13.04085
M_8,04.07.24,Peron,Metamastophora flabellata,8,6.06,0.8545,0.4703,12.87623,13.04973
A_9,30.09.24,Peron,Amphiroa anceps,9,7.72,3.7618,1.00633,12.86993,12.95674
J_9,30.09.24,Peron,Jania rosea,9,11.06,2.5623,1.01924,12.86366,12.99003
M_9,30.09.24,Peron,Metamastophora flabellata,9,7.77,1.2027,0.90329,12.8844,13.23565
A_10,30.09.24,Peron,Amphiroa anceps,10,6.92,3.63269,1.09769,12.81328,12.91927
J_10,30.09.24,Peron,Jania rosea,10,6.54,1.06107,0.59925,12.86773,12.94138
M_10,30.09.24,Peron,Metamastophora flabellata,10,5.86,0.76464,0.36611,12.8865,13.03763
A_11,11.09.24,Peron,Amphiroa anceps,11,7.76,3.76544,1.02456,12.88105,13.00122
J_11,11.09.24,Peron,Jania rosea,11,6.47,1.4404,0.8714,12.89043,12.98291
M_11,11.09.24,Peron,Metamastophora flabellata,11,5.46,0.90322,0.47188,12.92214,13.04701
A_12,11.09.24,Peron,Amphiroa anceps,12,4.9,2.18978,1.00364,12.94222,12.97215
J_12,11.09.24,Peron,Jania rosea,12,7.41,1.4172,1.01789,12.87728,12.99891
M_12,11.09.24,Peron,Metamastophora flabellata,12,5.8,0.9072,0.34015,12.88133,12.95239
A_13,11.09.24,Peron,Amphiroa anceps,13,6.57,2.68023,1.04129,12.6527,12.78954
J_13,11.09.24,Peron,Jania rosea,13,9.8,1.37256,0.87409,12.91973,12.78954
M_13,11.09.24,Peron,Metamastophora flabellata,13,6.01,0.78026,0.4788,12.88212,12.97835
A_14,20.01.25,Peron,Amphiroa anceps,14,8.56,4.40761,1.13531,12.85719,12.93327
J_14,20.01.25,Peron,Jania rosea,14,10.3,2.02449,1.00827,12.87939,13.00859
M_14,20.01.25,Peron,Metamastophora flabellata,14,9.24,1.221,0.9842,12.92855,13.22381
A_15_1,20.01.25,Peron,Amphiroa anceps,15_1,6.79,3.22801,1.21145,12.90658,12.92292
A_15_2,20.01.25,Peron,Amphiroa anceps,15_2,5.62,2.54082,1.07266,12.81415,12.99077
M_15,20.01.25,Peron,Metamastophora flabellata,15,8.15,1.58846,1.04317,12.92528,13.24036
A_16,20.01.25,Peron,Amphiroa anceps,16,8.37,4.17994,1.14336,12.85116,12.95191
M_16_1,20.01.25,Peron,Metamastophora flabellata,16_1,8.21,1.4018,1.14401,12.93213,13.28254
M_16_2,20.01.25,Peron,Metamastophora flabellata,16_2,9.66,1.47591,1.07492,12.89108,13.17956
A_17,07.03.25,Peron,Amphiroa anceps,17,8.05,3.81016,1.0685,12.81646,12.90899
J_17,07.03.25,Peron,Jania rosea,17,9.9,2.22422,1.08753,12.85618,13.01409
M_17,07.03.25,Peron,Metamastophora flabellata,17,8.94,1.10244,0.90683,12.8935,13.14199